date,open(ĸ),high(ĸ),low(ĸ),close(ĸ),amount(ĸ),vol(ĸ),open(A),high(A),low(A),close(A),amount(A),vol(A),open(B),high(B),low(B),close(B),amount(B),vol(B)
[20150901],[ 11.19999981],[ 11.5],[ 10.88000011],[ 11.44999981],[ 804823.],[714736],[ 9.39999962],[ 9.64000034],[ 9.39999962],[ 9.64000034],[ 1345558.],[1406621],[ 12.89999962],[ 13.81999969],[ 12.13000011],[ 13.61999989],[ 905625.],[712682]
[20150902],[ 11.22000027],[ 11.5],[ 10.93999958],[ 11.46000004],[ 534797.],[473563],[ 9.64000034],[ 9.75],[ 9.44999981],[ 9.72999954],[ 945356.],[981469],[ 13.26000023],[ 13.5],[ 12.43000031],[ 12.84000015],[ 951616.],[738718]
[20150907],[ 11.46000004],[ 11.46000004],[ 11.01000023],[ 11.01000023],[ 939454.],[840130],[ 9.75],[ 9.75],[ 9.52999973],[ 9.67000008],[ 420189.],[433945],[ 13.],[ 13.30000019],[ 12.19999981],[ 12.35999966],[ 832995.],[656746]
[20150908],[ 10.77999973],[ 11.18000031],[ 10.60000038],[ 11.14999962],[ 1667306.],[1508794],[ 9.53999996],[ 9.64999962],[ 9.53999996],[ 9.64999962],[ 645005.],[671872],[ 12.35000038],[ 13.],[ 11.31000042],[ 12.61999989],[ 374208.],[303655]
[20150909],[ 11.14999962],[ 11.35000038],[ 11.14999962],[ 11.21000004],[ 1266230.],[1123240],[ 9.60000038],[ 9.60000038],[ 9.23999977],[ 9.57999992],[ 640411.],[674585],[ 12.61999989],[ 13.39999962],[ 12.5],[ 13.],[ 597509.],[456793]
[20150910],[ 11.19999981],[ 11.39000034],[ 11.14000034],[ 11.32999992],[ 468396.],[415586],[ 9.61999989],[ 9.61999989],[ 9.51000023],[ 9.53999996],[ 487291.],[510509],[ 12.5],[ 13.30000019],[ 12.5],[ 13.],[ 589323.],[459871]
[20150911],[ 11.31000042],[ 11.39000034],[ 11.21000004],[ 11.22999954],[ 278822.],[247609],[ 9.56999969],[ 9.56999969],[ 9.43999958],[ 9.5],[ 237561.],[249800],[ 13.],[ 13.27999973],[ 13.],[ 13.02000046],[ 210044.],[160652]
[20150914],[ 11.19999981],[ 11.39999962],[ 11.],[ 11.38000011],[ 416610.],[372744],[ 9.5],[ 9.61999989],[ 9.43000031],[ 9.60000038],[ 450213.],[471943],[ 13.18000031],[ 13.18000031],[ 12.52000046],[ 13.03999996],[ 324474.],[251845]
[20150915],[ 10.89999962],[ 11.15999985],[ 10.89999962],[ 11.10000038],[ 206610.],[185578],[ 9.59000015],[ 9.59000015],[ 9.39999962],[ 9.52999973],[ 86291.],[90276],[ 13.02999973],[ 13.02999973],[ 12.28999996],[ 12.60999966],[ 140034.],[110981]
[20150916],[ 11.10000038],[ 11.53999996],[ 10.89999962],[ 11.52999973],[ 158009.],[140430],[ 9.5],[ 9.52999973],[ 9.46000004],[ 9.5],[ 156507.],[165028],[ 12.35999966],[ 13.85000038],[ 12.35999966],[ 13.80000019],[ 94253.],[72554]
[20150917],[ 11.],[ 11.55000019],[ 11.],[ 11.40999985],[ 367083.],[320471],[ 9.31999969],[ 9.56000042],[ 9.31999969],[ 9.5],[ 143239.],[150786],[ 12.97000027],[ 13.75],[ 12.97000027],[ 13.23999977],[ 235090.],[174275]
[20150918],[ 11.14000034],[ 11.35999966],[ 11.14000034],[ 11.27999973],[ 189994.],[167945],[ 9.5],[ 9.52000046],[ 9.47999954],[ 9.52000046],[ 143102.],[150503],[ 13.19999981],[ 13.59000015],[ 12.71000004],[ 13.47999954],[ 124831.],[92827]
[20150921],[ 11.09000015],[ 11.32999992],[ 11.09000015],[ 11.32999992],[ 98075.],[88001],[ 9.5],[ 9.51000023],[ 9.47000027],[ 9.51000023],[ 59881.],[63030],[ 12.47000027],[ 13.47000027],[ 12.47000027],[ 13.43999958],[ 65062.],[49695]
[20150922],[ 11.48999977],[ 11.63000011],[ 11.38000011],[ 11.48999977],[ 196126.],[170102],[ 9.47000027],[ 9.53999996],[ 9.46000004],[ 9.52000046],[ 191647.],[201468],[ 12.81999969],[ 13.51000023],[ 12.81999969],[ 13.5],[ 140469.],[106063]
[20150923],[ 11.39999962],[ 11.80000019],[ 10.42000008],[ 11.25],[ 206612.],[187179],[ 9.47999954],[ 9.52999973],[ 9.47000027],[ 9.5],[ 146010.],[153468],[ 12.82999992],[ 13.47999954],[ 12.82999992],[ 13.19999981],[ 135055.],[101439]
[20150924],[ 11.14999962],[ 11.53999996],[ 11.14999962],[ 11.48999977],[ 131233.],[114013],[ 9.48999977],[ 9.5],[ 9.47999954],[ 9.5],[ 75272.],[79319],[ 13.38000011],[ 13.38000011],[ 12.40999985],[ 12.85999966],[ 98875.],[78011]
[20150925],[ 11.02000046],[ 11.46000004],[ 11.02000046],[ 11.14999962],[ 112838.],[101907],[ 9.5],[ 9.52000046],[ 9.47999954],[ 9.52000046],[ 120842.],[127091],[ 13.18999958],[ 13.43000031],[ 12.5],[ 13.],[ 165453.],[130318]
[20150928],[ 11.06000042],[ 11.10999966],[ 11.06000042],[ 11.10000038],[ 24339.],[21945],[ 9.52999973],[ 9.55000019],[ 9.51000023],[ 9.55000019],[ 82082.],[86055],[ 13.],[ 13.01000023],[ 12.01000023],[ 12.67000008],[ 13430.],[10442]

good enough for discount arbitrage
date,discount rate
[20150605],[ 0.07765663]
[20150608],[ 0.01870906]
[20150629],[ 0.01734813]
[20150630],[ 0.0190476]
[20150810],[ 0.01825298]
[20150827],[ 0.05111526]
[20150828],[ 0.01774338]
[20150924],[ 0.02697994]
